Long,Lat,Op,FlightsCount,PosDateTime,Id,Icao,Source,Target
5.696333,52.96909,China Southern Airlines,0.0,2020-01-01 17:24:23.663,7866120.0,780708,ZHHH,EGLL
5.6430489999999995,52.946651,China Southern Airlines,0.0,2020-01-01 17:24:42.591,7866120.0,780708,ZHHH,EGLL
115.963548,31.348801,Sichuan Airlines,0.0,2020-01-01 07:24:23.195,7865204.0,780374,ZHHH,ZSPD
113.7812,34.89006,China Southern Airlines,8.0,2020-01-01 07:24:03.164,7866120.0,780708,ZHHH,EGLL
115.86559,31.317259999999997,Sichuan Airlines,8.0,2020-01-01 07:24:03.164,7865204.0,780374,ZHHH,ZSPD
129.2584,46.4954,China Southern Airlines,10.0,2020-01-01 07:24:03.179,7867910.0,780E06,ZHHH,ZGGG
112.15103,27.827270000000002,China Southern Airlines,0.0,2020-01-01 07:23:32.485,7869022.0,78125E,ZHHH,ZSNB
113.7812,34.89006,China Southern Airlines,0.0,2020-01-01 07:24:02.723,7866120.0,780708,ZHHH,EGLL
125.62373999999998,43.12555,China Southern Airlines,0.0,2020-01-01 07:24:02.715,7866467.0,780863,ZHHH,ZSPD
115.86559,31.317259999999997,Sichuan Airlines,0.0,2020-01-01 07:24:02.708,7865204.0,780374,ZHHH,ZSPD
113.68466000000001,24.16657,Air China,0.0,2020-01-01 07:24:02.715,7869832.0,781588,ZHHH,ZGGG
129.2584,46.4954,China Southern Airlines,0.0,2020-01-01 07:24:02.723,7867910.0,780E06,ZHHH,ZGGG
116.51141000000001,39.55381,Air China,0.0,2020-01-01 07:24:02.724,7865336.0,7803F8,ZHHH,ZBAA
116.10663600000001,6.941071000000001,Malindo Air,0.0,2020-01-01 19:57:33.931,7668741.0,750405,ZHHH,WMKP
116.04760700000001,5.928726,AirAsia,0.0,2020-01-01 19:56:43.853,7668869.0,750485,ZHHH,WBKK
117.83063999999999,26.428078000000003,Shenzhen Airlines,0.0,2020-01-01 11:14:08.816,7867644.0,780CFC,ZHHH,ZBAA
119.13492,31.594585,China Eastern Airlines,9.0,2020-01-01 11:14:04.225,7868854.0,7811B6,ZHHH,ZSPD
117.81267,26.414565999999997,Shenzhen Airlines,5.0,2020-01-01 11:14:20.282,7867644.0,780CFC,ZHHH,ZBAA
119.1453,31.59412,China Eastern Airlines,0.0,2020-01-01 11:14:00.809,7868854.0,7811B6,ZHHH,ZSPD
117.83063999999999,26.428078000000003,Shenzhen Airlines,0.0,2020-01-01 11:14:11.970,7867644.0,780CFC,ZHHH,ZBAA
